"['Final result', '1', '2.35', 'X', '3.40', '2', '3.00', 'First half', '1', '2.75', 'X', '2.50', '2', '3.45', 'Total goals (1.5)', 'over', '1.30', 'under', '3.40', 'Total goals (2.5)', 'over', '2.10', 'under', '1.75', 'Total goals (3.5)', 'over', '4.00', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '4.55', 'X', '4.30', '2', '1.60', 'Full time result including handicap (0:2)', '1', '11.75', 'X', '6.25', '2', '1.20', 'Full time result including handicap (1:0)', '1', '1.40', 'X', '4.65', '2', '6.75', 'First to score (0:0)', '1', '1.85', 'X', '16.75', '2', '2.35', 'Correct result', '0:0', '16.75', '1:0', '8.50', '2:0', '11.00', '3:0', '26.00', '0:1', '9.25', '1:1', '6.00', '2:1', '10.75', '3:1', '25.00', '0:2', '19.25', '1:2', '12.50', '2:2', '15.75', '3:2', '90.00', '0:3', '34.00', '1:3', '36.00', '2:3', '60.00', '3:3', '90.00', 'other', '13.50', 'Fri 09:47', 'VFL EDINBURGH  VFL ANKARA']"
"['Final result', '1', '1.40', 'X', '5.25', '2', '6.75', 'First half', '1', '1.85', 'X', '2.70', '2', '7.00', 'Total goals (1.5)', 'over', '1.30', 'under', '3.65', 'Total goals (2.5)', 'over', '1.80', 'under', '2.00', 'Total goals (3.5)', 'over', '3.20', 'under', '1.35', 'Full time result including handicap (0:1)', '1', '2.25', 'X', '3.40', '2', '2.95', 'Full time result including handicap (0:2)', '1', '4.00', 'X', '4.70', '2', '1.60', 'Full time result including handicap (1:0)', '1', '1.12', 'X', '7.75', '2', '19.25', 'First to score (0:0)', '1', '1.40', 'X', '16.25', '2', '3.80', 'Correct result', '0:0', '16.25', '1:0', '6.75', '2:0', '7.25', '3:0', '10.25', '0:1', '17.50', '1:1', '11.50', '2:1', '8.75', '3:1', '19.00', '0:2', '50.00', '1:2', '25.00', '2:2', '29.00', '3:2', '32.00', '0:3', '120.00', '1:3', '130.00', '2:3', '155.00', '3:3', '105.00', 'other', '6.00', 'Fri 09:47', 'VFL AMSTERDAM  VFL ATHENS']"
"['Final result', '1', '1.35', 'X', '5.50', '2', '7.75', 'First half', '1', '1.70', 'X', '3.00', '2', '8.25', 'Total goals (1.5)', 'over', '1.25', 'under', '4.00', 'Total goals (2.5)', 'over', '1.75', 'under', '2.10', 'Total goals (3.5)', 'over', '3.00', 'under', '1.40', 'Full time result including handicap (0:1)', '1', '2.00', 'X', '3.80', '2', '3.25', 'Full time result including handicap (0:2)', '1', '3.50', 'X', '4.25', '2', '1.80', 'Full time result including handicap (1:0)', '1', '1.09', 'X', '7.75', '2', '32.00', 'First to score (0:0)', '1', '1.30', 'X', '22.00', '2', '4.45', 'Correct result', '0:0', '22.00', '1:0', '7.00', '2:0', '6.50', '3:0', '8.25', '0:1', '19.25', '1:1', '11.50', '2:1', '10.75', '3:1', '14.25', '0:2', '115.00', '1:2', '25.00', '2:2', '27.00', '3:2', '44.00', '0:3', '400.00', '1:3', '98.00', '2:3', '110.00', '3:3', '92.00', 'other', '6.00', 'Fri 09:47', 'VFL MADRID  VFL COPENHAGEN']"
"['Final result', '1', '2.80', 'X', '4.30', '2', '2.15', 'First half', '1', '3.50', 'X', '2.70', '2', '2.55', 'Total goals (1.5)', 'over', '1.25', 'under', '4.00', 'Total goals (2.5)', 'over', '1.90', 'under', '1.95', 'Total goals (3.5)', 'over', '3.40', 'under', '1.30', 'Full time result including handicap (0:1)', '1', '5.25', 'X', '5.25', '2', '1.45', 'Full time result including handicap (1:0)', '1', '1.70', 'X', '3.80', '2', '4.40', 'Full time result including handicap (2:0)', '1', '1.20', 'X', '5.75', '2', '13.00', 'First to score (0:0)', '1', '2.30', 'X', '23.00', '2', '1.80', 'Correct result', '0:0', '23.00', '1:0', '11.00', '2:0', '13.75', '3:0', '31.00', '0:1', '9.25', '1:1', '8.00', '2:1', '13.50', '3:1', '25.00', '0:2', '10.75', '1:2', '8.50', '2:2', '17.00', '3:2', '80.00', '0:3', '31.00', '1:3', '21.00', '2:3', '37.00', '3:3', '110.00', 'other', '10.50', 'Fri 09:47', 'VFL BERN  VFL STOCKHOLM']"
"['Final result', '1', '2.30', 'X', '3.30', '2', '3.20', 'First half', '1', '2.85', 'X', '2.40', '2', '3.50', 'Total goals (1.5)', 'over', '1.50', 'under', '2.70', 'Total goals (2.5)', 'over', '2.45', 'under', '1.55', 'Total goals (3.5)', 'over', '4.45', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '5.25', 'X', '3.65', '2', '1.65', 'Full time result including handicap (0:2)', '1', '10.00', 'X', '8.50', '2', '1.16', 'Full time result including handicap (1:0)', '1', '1.35', 'X', '5.25', '2', '6.75', 'First to score (0:0)', '1', '1.95', 'X', '9.75', '2', '2.40', 'Correct result', '0:0', '9.75', '1:0', '6.00', '2:0', '15.00', '3:0', '28.00', '0:1', '9.50', '1:1', '6.50', '2:1', '12.00', '3:1', '35.00', '0:2', '14.75', '1:2', '15.25', '2:2', '22.00', '3:2', '54.00', '0:3', '52.00', '1:3', '36.00', '2:3', '88.00', '3:3', '220.00', 'other', '12.75', 'Fri 09:47', 'VFL OSLO  VFL LISBON']"
"['Final result', '1', '2.25', 'X', '4.45', '2', '2.60', 'First half', '1', '2.80', 'X', '2.75', '2', '3.05', 'Total goals (1.5)', 'over', '1.25', 'under', '3.80', 'Total goals (2.5)', 'over', '1.80', 'under', '2.05', 'Total goals (3.5)', 'over', '3.05', 'under', '1.40', 'Full time result including handicap (0:1)', '1', '4.15', 'X', '4.40', '2', '1.65', 'Full time result including handicap (0:2)', '1', '9.25', 'X', '6.50', '2', '1.22', 'Full time result including handicap (1:0)', '1', '1.50', 'X', '4.40', '2', '5.50', 'First to score (0:0)', '1', '1.95', 'X', '19.75', '2', '2.15', 'Correct result', '0:0', '19.75', '1:0', '10.25', '2:0', '14.75', '3:0', '19.25', '0:1', '9.50', '1:1', '9.00', '2:1', '12.00', '3:1', '18.00', '0:2', '15.00', '1:2', '11.25', '2:2', '18.50', '3:2', '26.00', '0:3', '37.00', '1:3', '36.00', '2:3', '50.00', '3:3', '82.00', 'other', '8.25', 'Fri 09:47', 'VFL ROME  VFL BERLIN']"
"['Final result', '1', '1.70', 'X', '3.45', '2', '5.75', 'First half', '1', '2.20', 'X', '2.30', '2', '6.25', 'Total goals (1.5)', 'over', '1.30', 'under', '3.55', 'Total goals (2.5)', 'over', '2.05', 'under', '1.75', 'Total goals (3.5)', 'over', '3.85', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '2.80', 'X', '3.85', '2', '2.15', 'Full time result including handicap (0:2)', '1', '6.25', 'X', '4.65', '2', '1.40', 'Full time result including handicap (1:0)', '1', '1.15', 'X', '7.50', '2', '13.00', 'First to score (0:0)', '1', '1.65', 'X', '11.75', '2', '2.95', 'Correct result', '0:0', '11.75', '1:0', '8.50', '2:0', '7.75', '3:0', '14.50', '0:1', '14.00', '1:1', '6.75', '2:1', '8.00', '3:1', '15.25', '0:2', '30.00', '1:2', '30.00', '2:2', '18.50', '3:2', '86.00', '0:3', '74.00', '1:3', '120.00', '2:3', '140.00', '3:3', '290.00', 'other', '9.75', 'Fri 09:47', 'VFL PARIS  VFL VIENNA']"
"['Final result', '1', '1.75', 'X', '3.50', '2', '5.25', 'First half', '1', '2.15', 'X', '2.35', '2', '6.25', 'Total goals (1.5)', 'over', '1.40', 'under', '2.90', 'Total goals (2.5)', 'over', '2.35', 'under', '1.60', 'Total goals (3.5)', 'over', '4.45', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '3.10', 'X', '3.60', '2', '2.10', 'Full time result including handicap (0:2)', '1', '7.00', 'X', '5.00', '2', '1.35', 'Full time result including handicap (1:0)', '1', '1.16', 'X', '6.25', '2', '16.50', 'First to score (0:0)', '1', '1.65', 'X', '9.75', '2', '3.10', 'Correct result', '0:0', '9.75', '1:0', '6.75', '2:0', '7.75', '3:0', '14.50', '0:1', '11.00', '1:1', '7.50', '2:1', '10.00', '3:1', '21.00', '0:2', '28.00', '1:2', '23.00', '2:2', '23.00', '3:2', '45.00', '0:3', '150.00', '1:3', '155.00', '2:3', '190.00', '3:3', '125.00', 'other', '12.25', 'Fri 09:47', 'VFL LONDON  VFL BRUSSELS']"
"['Final result', '1', '1.50', 'X', '4.10', '2', '7.50', 'First half', '1', '1.95', 'X', '2.45', '2', '8.00', 'Total goals (1.5)', 'over', '1.45', 'under', '2.85', 'Total goals (2.5)', 'over', '2.30', 'under', '1.65', 'Total goals (3.5)', 'over', '4.40', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '2.50', 'X', '3.30', '2', '2.65', 'Full time result including handicap (0:2)', '1', '5.50', 'X', '4.20', '2', '1.50', 'Full time result including handicap (1:0)', '1', '1.10', 'X', '7.75', '2', '23.00', 'First to score (0:0)', '1', '1.45', 'X', '9.50', '2', '4.40', 'Correct result', '0:0', '9.50', '1:0', '5.50', '2:0', '6.50', '3:0', '10.75', '0:1', '17.75', '1:1', '8.75', '2:1', '11.25', '3:1', '14.00', '0:2', '50.00', '1:2', '24.00', '2:2', '56.00', '3:2', '39.00', '0:3', '380.00', '1:3', '115.00', '2:3', '250.00', '3:3', '220.00', 'other', '11.50', 'Fri 10:05', 'VFL OSLO  VFL COPENHAGEN']"
"['Final result', '1', '1.90', 'X', '3.75', '2', '3.80', 'First half', '1', '2.40', 'X', '2.35', '2', '4.75', 'Total goals (1.5)', 'over', '1.22', 'under', '4.25', 'Total goals (2.5)', 'over', '1.70', 'under', '2.15', 'Total goals (3.5)', 'over', '2.65', 'under', '1.50', 'Full time result including handicap (0:1)', '1', '3.25', 'X', '4.10', '2', '1.90', 'Full time result including handicap (0:2)', '1', '8.50', 'X', '4.80', '2', '1.35', 'Full time result including handicap (1:0)', '1', '1.25', 'X', '5.50', '2', '8.75', 'First to score (0:0)', '1', '1.70', 'X', '14.75', '2', '2.65', 'Correct result', '0:0', '14.75', '1:0', '11.75', '2:0', '10.50', '3:0', '22.00', '0:1', '14.50', '1:1', '8.75', '2:1', '8.50', '3:1', '12.75', '0:2', '24.00', '1:2', '18.00', '2:2', '16.00', '3:2', '35.00', '0:3', '115.00', '1:3', '29.00', '2:3', '26.00', '3:3', '42.00', 'other', '9.00', 'Fri 10:05', 'VFL LONDON  VFL ROME']"
"['Final result', '1', '1.90', 'X', '4.10', '2', '3.60', 'First half', '1', '2.50', 'X', '2.70', '2', '3.60', 'Total goals (1.5)', 'over', '1.22', 'under', '4.35', 'Total goals (2.5)', 'over', '1.60', 'under', '2.35', 'Total goals (3.5)', 'over', '2.65', 'under', '1.50', 'Full time result including handicap (0:1)', '1', '3.20', 'X', '4.10', '2', '1.90', 'Full time result including handicap (0:2)', '1', '6.25', 'X', '5.75', '2', '1.35', 'Full time result including handicap (1:0)', '1', '1.30', 'X', '5.50', '2', '8.25', 'First to score (0:0)', '1', '1.85', 'X', '17.00', '2', '2.35', 'Correct result', '0:0', '17.00', '1:0', '11.00', '2:0', '13.25', '3:0', '15.25', '0:1', '14.50', '1:1', '10.00', '2:1', '9.75', '3:1', '19.25', '0:2', '29.00', '1:2', '13.50', '2:2', '13.75', '3:2', '27.00', '0:3', '41.00', '1:3', '28.00', '2:3', '34.00', '3:3', '70.00', 'other', '7.00', 'Fri 10:05', 'VFL MADRID  VFL BERLIN']"
