"['Final result', '1', '1.25', 'X', '6.50', '2', '9.00', 'First half', '1', '1.55', 'X', '3.35', '2', '8.00', 'Total goals (2.5)', 'over', '1.35', 'under', '2.85', 'Total goals (3.5)', 'over', '2.15', 'under', '1.65', 'Total goals (4.5)', 'over', '3.65', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '1.70', 'X', '4.15', '2', '3.85', 'Full time result including handicap (0:2)', '1', '2.85', 'X', '4.00', '2', '2.05', 'Full time result including handicap (1:0)', '1', '1.07', 'X', '9.75', '2', '22.00', 'First to score (0:0)', '1', '1.25', 'X', '44.00', '2', '3.75', 'Correct result', '0:0', '44.00', '1:0', '13.25', '2:0', '8.75', '3:0', '8.25', '0:1', '39.00', '1:1', '12.25', '2:1', '8.25', '3:1', '9.75', '0:2', '60.00', '1:2', '29.00', '2:2', '26.00', '3:2', '31.00', '0:3', '460.00', '1:3', '125.00', '2:3', '66.00', '3:3', '160.00', 'other', '3.85', 'Wed 14:52', 'VFL MADRID  VFL EDINBURGH']"
"['Final result', '1', '1.90', 'X', '3.70', '2', '3.85', 'First half', '1', '2.60', 'X', '2.20', '2', '4.10', 'Total goals (1.5)', 'over', '1.30', 'under', '3.10', 'Total goals (2.5)', 'over', '2.05', 'under', '1.70', 'Total goals (3.5)', 'over', '3.80', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '3.90', 'X', '3.40', '2', '1.90', 'Full time result including handicap (0:2)', '1', '9.00', 'X', '6.00', '2', '1.25', 'Full time result including handicap (1:0)', '1', '1.25', 'X', '5.25', '2', '9.75', 'First to score (0:0)', '1', '1.70', 'X', '14.00', '2', '2.30', 'Correct result', '0:0', '14.00', '1:0', '7.00', '2:0', '9.50', '3:0', '22.00', '0:1', '11.50', '1:1', '6.75', '2:1', '8.25', '3:1', '23.00', '0:2', '23.00', '1:2', '15.25', '2:2', '19.75', '3:2', '38.00', '0:3', '74.00', '1:3', '60.00', '2:3', '68.00', '3:3', '170.00', 'other', '12.50', 'Wed 14:52', 'VFL ANKARA  VFL BERN']"
"['Final result', '1', '1.40', 'X', '5.50', '2', '6.50', 'First half', '1', '1.75', 'X', '2.95', '2', '5.75', 'Total goals (1.5)', 'over', '1.20', 'under', '4.15', 'Total goals (2.5)', 'over', '1.60', 'under', '2.20', 'Total goals (3.5)', 'over', '2.65', 'under', '1.40', 'Full time result including handicap (0:1)', '1', '2.10', 'X', '3.65', '2', '3.00', 'Full time result including handicap (0:2)', '1', '3.70', 'X', '4.60', '2', '1.70', 'Full time result including handicap (1:0)', '1', '1.12', 'X', '7.50', '2', '19.75', 'First to score (0:0)', '1', '1.35', 'X', '26.00', '2', '3.20', 'Correct result', '0:0', '26.00', '1:0', '8.25', '2:0', '8.25', '3:0', '9.25', '0:1', '18.50', '1:1', '10.00', '2:1', '8.75', '3:1', '15.75', '0:2', '140.00', '1:2', '21.00', '2:2', '27.00', '3:2', '35.00', '0:3', '340.00', '1:3', '52.00', '2:3', '110.00', '3:3', '140.00', 'other', '5.00', 'Wed 14:52', 'VFL AMSTERDAM  VFL PARIS']"
"['Final result', '1', '1.75', 'X', '3.95', '2', '4.35', 'First half', '1', '2.00', 'X', '2.45', '2', '5.75', 'Total goals (1.5)', 'over', '1.25', 'under', '3.65', 'Total goals (2.5)', 'over', '1.85', 'under', '1.85', 'Total goals (3.5)', 'over', '3.00', 'under', '1.35', 'Full time result including handicap (0:1)', '1', '2.85', 'X', '4.10', '2', '2.05', 'Full time result including handicap (0:2)', '1', '6.75', 'X', '4.60', '2', '1.40', 'Full time result including handicap (1:0)', '1', '1.22', 'X', '5.75', '2', '11.25', 'First to score (0:0)', '1', '1.50', 'X', '14.75', '2', '2.80', 'Correct result', '0:0', '14.75', '1:0', '9.25', '2:0', '8.25', '3:0', '16.00', '0:1', '13.50', '1:1', '8.00', '2:1', '10.25', '3:1', '14.25', '0:2', '27.00', '1:2', '17.50', '2:2', '20.00', '3:2', '32.00', '0:3', '68.00', '1:3', '64.00', '2:3', '54.00', '3:3', '70.00', 'other', '8.50', 'Wed 14:52', 'VFL STOCKHOLM  VFL VIENNA']"
"['Final result', '1', '3.70', 'X', '3.40', '2', '2.05', 'First half', '1', '4.95', 'X', '2.15', '2', '2.40', 'Total goals (1.5)', 'over', '1.50', 'under', '2.45', 'Total goals (2.5)', 'over', '2.50', 'under', '1.50', 'Total goals (3.5)', 'over', '5.00', 'under', '1.14', 'Full time result including handicap (0:1)', '1', '11.00', 'X', '4.80', '2', '1.30', 'Full time result including handicap (1:0)', '1', '1.75', 'X', '3.85', '2', '3.90', 'Full time result including handicap (2:0)', '1', '1.25', 'X', '5.75', '2', '9.75', 'First to score (0:0)', '1', '2.65', 'X', '7.75', '2', '1.75', 'Correct result', '0:0', '7.75', '1:0', '8.50', '2:0', '23.00', '3:0', '72.00', '0:1', '6.75', '1:1', '8.25', '2:1', '16.00', '3:1', '43.00', '0:2', '8.00', '1:2', '11.75', '2:2', '25.00', '3:2', '88.00', '0:3', '16.50', '1:3', '34.00', '2:3', '60.00', '3:3', '86.00', 'other', '26.00', 'Wed 14:52', 'VFL COPENHAGEN  VFL ROME']"
"['Final result', '1', '2.00', 'X', '2.90', '2', '4.85', 'First half', '1', '2.30', 'X', '2.00', '2', '7.00', 'Total goals (1.5)', 'over', '1.55', 'under', '2.30', 'Total goals (2.5)', 'over', '2.70', 'under', '1.40', 'Total goals (3.5)', 'over', '4.80', 'under', '1.15', 'Full time result including handicap (0:1)', '1', '4.05', 'X', '3.55', '2', '1.80', 'Full time result including handicap (0:2)', '1', '10.00', 'X', '5.75', '2', '1.25', 'Full time result including handicap (1:0)', '1', '1.18', 'X', '6.00', '2', '14.00', 'First to score (0:0)', '1', '1.60', 'X', '6.75', '2', '3.20', 'Correct result', '0:0', '6.75', '1:0', '5.50', '2:0', '9.00', '3:0', '21.00', '0:1', '10.50', '1:1', '6.75', '2:1', '12.25', '3:1', '24.00', '0:2', '27.00', '1:2', '23.00', '2:2', '19.00', '3:2', '90.00', '0:3', '200.00', '1:3', '70.00', '2:3', '120.00', '3:3', '320.00', 'other', '21.00', 'Wed 14:52', 'VFL LISBON  VFL BRUSSELS']"
"['Final result', '1', '1.60', 'X', '3.70', '2', '6.75', 'First half', '1', '2.00', 'X', '2.45', '2', '6.00', 'Total goals (1.5)', 'over', '1.30', 'under', '3.20', 'Total goals (2.5)', 'over', '2.00', 'under', '1.70', 'Total goals (3.5)', 'over', '3.75', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '2.60', 'X', '3.60', '2', '2.40', 'Full time result including handicap (0:2)', '1', '5.25', 'X', '4.65', '2', '1.45', 'Full time result including handicap (1:0)', '1', '1.12', 'X', '7.00', '2', '23.00', 'First to score (0:0)', '1', '1.50', 'X', '11.00', '2', '3.10', 'Correct result', '0:0', '11.00', '1:0', '7.25', '2:0', '6.75', '3:0', '10.50', '0:1', '16.75', '1:1', '7.50', '2:1', '9.00', '3:1', '22.00', '0:2', '66.00', '1:2', '27.00', '2:2', '26.00', '3:2', '45.00', '0:3', '175.00', '1:3', '105.00', '2:3', '52.00', '3:3', '120.00', 'other', '10.00', 'Wed 14:52', 'VFL BERLIN  VFL ATHENS']"
"['Final result', '1', '2.45', 'X', '4.20', '2', '2.50', 'First half', '1', '2.85', 'X', '2.80', '2', '2.70', 'Total goals (2.5)', 'over', '1.60', 'under', '2.20', 'Total goals (3.5)', 'over', '2.60', 'under', '1.45', 'Total goals (4.5)', 'over', '4.30', 'under', '1.18', 'Full time result including handicap (0:1)', '1', '5.25', 'X', '4.00', '2', '1.55', 'Full time result including handicap (1:0)', '1', '1.55', 'X', '4.65', '2', '4.70', 'Full time result including handicap (2:0)', '1', '1.18', 'X', '6.75', '2', '11.75', 'First to score (0:0)', '1', '2.05', 'X', '23.00', '2', '1.80', 'Correct result', '0:0', '23.00', '1:0', '13.00', '2:0', '17.50', '3:0', '47.00', '0:1', '14.50', '1:1', '8.25', '2:1', '8.25', '3:1', '18.75', '0:2', '13.25', '1:2', '11.00', '2:2', '16.25', '3:2', '26.00', '0:3', '36.00', '1:3', '27.00', '2:3', '24.00', '3:3', '66.00', 'other', '8.00', 'Wed 14:52', 'VFL OSLO  VFL LONDON']"
"['Final result', '1', '3.05', 'X', '3.75', '2', '2.20', 'First half', '1', '3.20', 'X', '2.40', '2', '2.85', 'Total goals (1.5)', 'over', '1.30', 'under', '3.15', 'Total goals (2.5)', 'over', '2.05', 'under', '1.70', 'Total goals (3.5)', 'over', '3.70', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '7.75', 'X', '4.45', '2', '1.40', 'Full time result including handicap (1:0)', '1', '1.70', 'X', '3.40', '2', '5.25', 'Full time result including handicap (2:0)', '1', '1.16', 'X', '7.75', '2', '11.50', 'First to score (0:0)', '1', '2.15', 'X', '17.75', '2', '1.75', 'Correct result', '0:0', '17.75', '1:0', '11.00', '2:0', '16.75', '3:0', '62.00', '0:1', '6.75', '1:1', '6.00', '2:1', '11.75', '3:1', '41.00', '0:2', '14.75', '1:2', '9.50', '2:2', '23.00', '3:2', '29.00', '0:3', '31.00', '1:3', '30.00', '2:3', '36.00', '3:3', '420.00', 'other', '12.25', 'Wed 14:56', 'VFL PARIS  VFL LISBON']"
"['Final result', '1', '2.30', 'X', '3.70', '2', '2.90', 'First half', '1', '3.20', 'X', '2.10', '2', '3.45', 'Total goals (1.5)', 'over', '1.40', 'under', '2.75', 'Total goals (2.5)', 'over', '2.25', 'under', '1.55', 'Total goals (3.5)', 'over', '4.30', 'under', '1.18', 'Full time result including handicap (0:1)', '1', '5.00', 'X', '3.75', '2', '1.65', 'Full time result including handicap (0:2)', '1', '16.75', 'X', '6.25', '2', '1.16', 'Full time result including handicap (1:0)', '1', '1.40', 'X', '4.15', '2', '7.75', 'First to score (0:0)', '1', '1.90', 'X', '11.25', '2', '2.10', 'Correct result', '0:0', '11.25', '1:0', '7.25', '2:0', '10.75', '3:0', '37.00', '0:1', '8.00', '1:1', '7.00', '2:1', '10.00', '3:1', '23.00', '0:2', '17.00', '1:2', '12.00', '2:2', '26.00', '3:2', '44.00', '0:3', '48.00', '1:3', '41.00', '2:3', '45.00', '3:3', '165.00', 'other', '21.00', 'Wed 14:56', 'VFL VIENNA  VFL ANKARA']"
"['Final result', '1', '1.50', 'X', '4.95', '2', '5.75', 'First half', '1', '1.75', 'X', '3.40', '2', '4.85', 'Total goals (2.5)', 'over', '1.50', 'under', '2.45', 'Total goals (3.5)', 'over', '2.15', 'under', '1.60', 'Total goals (4.5)', 'over', '3.40', 'under', '1.30', 'Full time result including handicap (0:1)', '1', '2.20', 'X', '4.05', '2', '2.65', 'Full time result including handicap (0:2)', '1', '3.80', 'X', '4.75', '2', '1.65', 'Full time result including handicap (1:0)', '1', '1.15', 'X', '7.00', '2', '15.25', 'First to score (0:0)', '1', '1.40', 'X', '27.00', '2', '3.00', 'Correct result', '0:0', '27.00', '1:0', '10.50', '2:0', '9.25', '3:0', '12.00', '0:1', '25.00', '1:1', '10.50', '2:1', '10.75', '3:1', '13.25', '0:2', '49.00', '1:2', '21.00', '2:2', '22.00', '3:2', '22.00', '0:3', '290.00', '1:3', '60.00', '2:3', '34.00', '3:3', '43.00', 'other', '4.60', 'Wed 14:56', 'VFL LONDON  VFL STOCKHOLM']"
