"['Final result', '1', '1.65', 'X', '5.25', '2', '4.15', 'First half', '1', '2.00', 'X', '2.95', '2', '4.80', 'Total goals (1.5)', 'over', '1.25', 'under', '3.95', 'Total goals (2.5)', 'over', '1.65', 'under', '2.25', 'Total goals (3.5)', 'over', '3.05', 'under', '1.40', 'Full time result including handicap (0:1)', '1', '2.75', 'X', '3.55', '2', '2.30', 'Full time result including handicap (0:2)', '1', '5.25', 'X', '5.25', '2', '1.45', 'Full time result including handicap (1:0)', '1', '1.25', 'X', '5.25', '2', '12.50', 'First to score (0:0)', '1', '1.55', 'X', '18.00', '2', '3.10', 'Correct result', '0:0', '18.00', '1:0', '8.50', '2:0', '10.50', '3:0', '12.25', '0:1', '14.50', '1:1', '13.75', '2:1', '8.00', '3:1', '13.50', '0:2', '28.00', '1:2', '11.50', '2:2', '18.75', '3:2', '35.00', '0:3', '92.00', '1:3', '62.00', '2:3', '76.00', '3:3', '80.00', 'other', '7.75', 'Fri 17:40', 'VFL PARIS  VFL ANKARA']"
"['Final result', '1', '1.70', 'X', '3.75', '2', '5.25', 'First half', '1', '2.35', 'X', '2.25', '2', '5.50', 'Total goals (1.5)', 'over', '1.40', 'under', '3.00', 'Total goals (2.5)', 'over', '2.15', 'under', '1.70', 'Total goals (3.5)', 'over', '4.35', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '2.80', 'X', '3.70', '2', '2.20', 'Full time result including handicap (0:2)', '1', '5.25', 'X', '5.25', '2', '1.40', 'Full time result including handicap (1:0)', '1', '1.16', 'X', '6.50', '2', '14.75', 'First to score (0:0)', '1', '1.60', 'X', '9.25', '2', '3.35', 'Correct result', '0:0', '9.25', '1:0', '7.00', '2:0', '8.50', '3:0', '11.00', '0:1', '13.25', '1:1', '8.50', '2:1', '9.25', '3:1', '18.25', '0:2', '28.00', '1:2', '18.50', '2:2', '28.00', '3:2', '80.00', '0:3', '125.00', '1:3', '105.00', '2:3', '380.00', '3:3', '160.00', 'other', '10.00', 'Fri 17:40', 'VFL BERLIN  VFL BRUSSELS']"
"['Final result', '1', '4.05', 'X', '4.10', '2', '1.80', 'First half', '1', '3.85', 'X', '2.80', '2', '2.30', 'Total goals (2.5)', 'over', '1.45', 'under', '2.70', 'Total goals (3.5)', 'over', '2.40', 'under', '1.60', 'Total goals (4.5)', 'over', '4.45', 'under', '1.22', 'Full time result including handicap (0:1)', '1', '7.75', 'X', '6.75', '2', '1.25', 'Full time result including handicap (1:0)', '1', '2.05', 'X', '3.85', '2', '3.05', 'Full time result including handicap (2:0)', '1', '1.35', 'X', '5.25', '2', '6.25', 'First to score (0:0)', '1', '2.55', 'X', '25.00', '2', '1.70', 'Correct result', '0:0', '25.00', '1:0', '33.00', '2:0', '25.00', '3:0', '80.00', '0:1', '13.25', '1:1', '9.75', '2:1', '13.50', '3:1', '29.00', '0:2', '11.75', '1:2', '8.25', '2:2', '13.50', '3:2', '36.00', '0:3', '13.75', '1:3', '14.50', '2:3', '19.25', '3:3', '32.00', 'other', '7.25', 'Fri 17:40', 'VFL STOCKHOLM  VFL LONDON']"
"['Final result', '1', '1.40', 'X', '4.30', '2', '9.75', 'First half', '1', '1.80', 'X', '2.50', '2', '10.00', 'Total goals (1.5)', 'over', '1.50', 'under', '2.70', 'Total goals (2.5)', 'over', '2.20', 'under', '1.65', 'Total goals (3.5)', 'over', '4.55', 'under', '1.20', 'Full time result including handicap (0:1)', '1', '2.25', 'X', '3.35', '2', '3.00', 'Full time result including handicap (0:2)', '1', '3.75', 'X', '5.00', '2', '1.60', 'Full time result including handicap (1:0)', '1', '1.07', 'X', '8.50', '2', '45.00', 'First to score (0:0)', '1', '1.40', 'X', '9.00', '2', '5.25', 'Correct result', '0:0', '9.00', '1:0', '4.80', '2:0', '6.75', '3:0', '7.25', '0:1', '20.00', '1:1', '11.00', '2:1', '13.50', '3:1', '24.00', '0:2', '130.00', '1:2', '30.00', '2:2', '38.00', '3:2', '92.00', '0:3', '200.00', '1:3', '340.00', '2:3', '330.00', 'other', '8.00', 'Fri 17:40', 'VFL AMSTERDAM  VFL COPENHAGEN']"
"['Final result', '1', '1.40', 'X', '4.30', '2', '9.25', 'First half', '1', '1.70', 'X', '2.95', '2', '8.25', 'Total goals (1.5)', 'over', '1.35', 'under', '3.35', 'Total goals (2.5)', 'over', '2.10', 'under', '1.75', 'Total goals (3.5)', 'over', '3.80', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '2.25', 'X', '3.35', '2', '2.95', 'Full time result including handicap (0:2)', '1', '4.85', 'X', '3.95', '2', '1.60', 'Full time result including handicap (1:0)', '1', '1.07', 'X', '8.50', '2', '35.00', 'First to score (0:0)', '1', '1.30', 'X', '13.25', '2', '5.25', 'Correct result', '0:0', '13.25', '1:0', '5.75', '2:0', '6.25', '3:0', '10.75', '0:1', '21.00', '1:1', '8.75', '2:1', '9.25', '3:1', '13.00', '0:2', '66.00', '1:2', '31.00', '2:2', '28.00', '3:2', '66.00', '0:3', '380.00', '1:3', '380.00', '2:3', '340.00', '3:3', '155.00', 'other', '8.50', 'Fri 17:40', 'VFL LISBON  VFL BERN']"
"['Final result', '1', '1.70', 'X', '4.75', '2', '4.05', 'First half', '1', '1.95', 'X', '3.45', '2', '4.00', 'Total goals (2.5)', 'over', '1.45', 'under', '2.75', 'Total goals (3.5)', 'over', '2.20', 'under', '1.70', 'Total goals (4.5)', 'over', '3.85', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '2.65', 'X', '4.05', '2', '2.20', 'Full time result including handicap (0:2)', '1', '5.50', 'X', '4.80', '2', '1.45', 'Full time result including handicap (1:0)', '1', '1.25', 'X', '5.75', '2', '9.75', 'First to score (0:0)', '1', '1.65', 'X', '34.00', '2', '2.55', 'Correct result', '0:0', '34.00', '1:0', '14.75', '2:0', '11.25', '3:0', '25.00', '0:1', '18.50', '1:1', '10.25', '2:1', '8.50', '3:1', '11.75', '0:2', '35.00', '1:2', '13.00', '2:2', '14.50', '3:2', '24.00', '0:3', '62.00', '1:3', '38.00', '2:3', '40.00', '3:3', '66.00', 'other', '5.00', 'Fri 17:40', 'VFL MADRID  VFL ROME']"
"['Final result', '1', '1.60', 'X', '3.95', '2', '5.50', 'First half', '1', '1.90', 'X', '2.75', '2', '6.00', 'Total goals (1.5)', 'over', '1.30', 'under', '3.60', 'Total goals (2.5)', 'over', '1.95', 'under', '1.85', 'Total goals (3.5)', 'over', '3.35', 'under', '1.35', 'Full time result including handicap (0:1)', '1', '2.60', 'X', '3.80', '2', '2.30', 'Full time result including handicap (0:2)', '1', '5.25', 'X', '4.70', '2', '1.45', 'Full time result including handicap (1:0)', '1', '1.16', 'X', '6.75', '2', '15.00', 'First to score (0:0)', '1', '1.55', 'X', '15.25', '2', '3.10', 'Correct result', '0:0', '15.25', '1:0', '8.25', '2:0', '8.25', '3:0', '11.75', '0:1', '12.25', '1:1', '7.50', '2:1', '9.50', '3:1', '13.75', '0:2', '33.00', '1:2', '27.00', '2:2', '21.00', '3:2', '40.00', '0:3', '160.00', '1:3', '115.00', '2:3', '105.00', '3:3', '145.00', 'other', '8.25', 'Fri 17:40', 'VFL OSLO  VFL ATHENS']"
"['Final result', '1', '2.20', 'X', '3.45', '2', '3.20', 'First half', '1', '2.65', 'X', '2.20', '2', '4.55', 'Total goals (1.5)', 'over', '1.50', 'under', '2.65', 'Total goals (2.5)', 'over', '2.40', 'under', '1.60', 'Total goals (3.5)', 'over', '4.60', 'under', '1.20', 'Full time result including handicap (0:1)', '1', '4.60', 'X', '3.80', '2', '1.65', 'Full time result including handicap (0:2)', '1', '12.25', 'X', '6.25', '2', '1.20', 'Full time result including handicap (1:0)', '1', '1.35', 'X', '4.15', '2', '10.25', 'First to score (0:0)', '1', '1.80', 'X', '9.50', '2', '2.70', 'Correct result', '0:0', '9.50', '1:0', '6.50', '2:0', '10.75', '3:0', '37.00', '0:1', '8.50', '1:1', '7.00', '2:1', '11.50', '3:1', '28.00', '0:2', '26.00', '1:2', '10.75', '2:2', '22.00', '3:2', '80.00', '0:3', '72.00', '1:3', '36.00', '2:3', '60.00', '3:3', '460.00', 'other', '14.75', 'Fri 17:40', 'VFL EDINBURGH  VFL VIENNA']"
"['Final result', '1', '1.95', 'X', '3.75', '2', '3.65', 'First half', '1', '2.45', 'X', '2.65', '2', '3.75', 'Total goals (1.5)', 'over', '1.22', 'under', '4.20', 'Total goals (2.5)', 'over', '1.70', 'under', '2.15', 'Total goals (3.5)', 'over', '2.70', 'under', '1.45', 'Full time result including handicap (0:1)', '1', '3.35', 'X', '4.20', '2', '1.85', 'Full time result including handicap (0:2)', '1', '8.00', 'X', '5.00', '2', '1.30', 'Full time result including handicap (1:0)', '1', '1.30', 'X', '5.75', '2', '8.00', 'First to score (0:0)', '1', '1.80', 'X', '17.25', '2', '2.40', 'Correct result', '0:0', '17.25', '1:0', '10.75', '2:0', '13.00', '3:0', '18.75', '0:1', '13.25', '1:1', '8.00', '2:1', '9.25', '3:1', '12.25', '0:2', '24.00', '1:2', '16.25', '2:2', '15.00', '3:2', '31.00', '0:3', '76.00', '1:3', '28.00', '2:3', '37.00', '3:3', '49.00', 'other', '9.00', 'Fri 17:44', 'VFL ROME  VFL OSLO']"
"['Final result', '1', '2.20', 'X', '3.75', '2', '3.00', 'First half', '1', '2.85', 'X', '2.30', '2', '3.75', 'Total goals (1.5)', 'over', '1.40', 'under', '2.90', 'Total goals (2.5)', 'over', '2.45', 'under', '1.55', 'Total goals (3.5)', 'over', '4.85', 'under', '1.18', 'Full time result including handicap (0:1)', '1', '4.75', 'X', '3.70', '2', '1.65', 'Full time result including handicap (0:2)', '1', '13.25', 'X', '6.25', '2', '1.18', 'Full time result including handicap (1:0)', '1', '1.40', 'X', '4.50', '2', '7.25', 'First to score (0:0)', '1', '1.90', 'X', '12.75', '2', '2.35', 'Correct result', '0:0', '12.75', '1:0', '7.50', '2:0', '9.25', '3:0', '30.00', '0:1', '7.75', '1:1', '6.75', '2:1', '9.50', '3:1', '48.00', '0:2', '16.75', '1:2', '14.25', '2:2', '27.00', '3:2', '46.00', '0:3', '80.00', '1:3', '24.00', '2:3', '100.00', '3:3', '380.00', 'other', '15.75', 'Fri 17:44', 'VFL BRUSSELS  VFL PARIS']"
"['Final result', '1', '4.45', 'X', '3.50', '2', '1.85', 'First half', '1', '5.25', 'X', '2.45', '2', '2.20', 'Total goals (1.5)', 'over', '1.40', 'under', '3.05', 'Total goals (2.5)', 'over', '2.20', 'under', '1.70', 'Total goals (3.5)', 'over', '4.05', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '11.75', 'X', '6.00', '2', '1.22', 'Full time result including handicap (1:0)', '1', '1.95', 'X', '3.55', '2', '3.50', 'Full time result including handicap (2:0)', '1', '1.30', 'X', '5.50', '2', '8.25', 'First to score (0:0)', '1', '3.10', 'X', '11.50', '2', '1.60', 'Correct result', '0:0', '11.50', '1:0', '12.50', '2:0', '23.00', '3:0', '105.00', '0:1', '6.25', '1:1', '7.75', '2:1', '18.25', '3:1', '90.00', '0:2', '8.75', '1:2', '9.50', '2:2', '14.50', '3:2', '74.00', '0:3', '17.25', '1:3', '20.00', '2:3', '70.00', '3:3', '370.00', 'other', '12.75', 'Fri 17:44', 'VFL ANKARA  VFL LISBON']"
