Pos_x,Dir_x,Team_x,P,W_x,D_x,L_x,GF_x,GA_x,DIFF_x,Points_x,Season,TEAM_x,HOMECODE,AWAYCODE_x,Pos_y,Dir_y,Team_y,W_y,D_y,L_y,GF_y,GA_y,DIFF_y,Points_y,TEAM_y,HOMECODE_x,AWAYCODE_y,HOMECODE_y,min,1,2,X,HT1,HT2,HTX,FS (0:0),FS(0:0)2,FS(0:0)X,G(0.5)O,G(0.5)U,G(1.5)O,G(1.5)U,G(2.5)O,G(2.5)U,G(3.5)O,G(3.5)U,G(4.5)O,G(4.5)U,TC,HT_home_goals,HT_away_goals,FT_home_goals,FT_away_goals,Sum_Goals,HT_Results_1_0_2,FT_Results_1_0_2,Under_Over_1.5,Under_Over_2.5,Under_Over_3.5,AWAYCODE
1,0,VFL Oslo,7,5,1,0,13,4,9,16,Season 61625,OSLO,6,6,10,1,VFL Edinburgh,2,2,3,8,10,-2,8,EDINBURGH,15,15,6,56,1.45,5.75,5.75,1.8,6.75,2.7,1.4,3.25,20.0,0.0,0.0,1.22,3.9,1.7,2.1,2.5,1.5,0.0,0.0,OSLO EDINBURGH,1,  01,2,  02,4.0,0,0,1,1,1,15
2,0,VFL Berlin,7,5,0,1,15,3,12,15,Season 61625,BERLIN,3,3,3,0,VFL Rome,4,3,0,16,7,9,15,ROME,5,5,3,56,1.85,3.7,4.25,2.35,3.85,2.5,1.65,2.25,22.0,0.0,0.0,1.22,4.0,1.65,2.2,2.8,1.4,0.0,0.0,BERLIN ROME,0,  01,2,  02,4.0,2,0,1,1,1,5
5,1,VFL Madrid,7,3,2,1,16,9,7,11,Season 61625,MADRID,1,1,5,1,VFL Amsterdam,4,1,2,10,5,5,13,AMSTERDAM,2,2,1,56,2.0,3.4,3.9,2.2,3.35,3.05,1.7,2.2,27.0,0.0,0.0,0.0,0.0,1.5,2.4,2.35,1.55,4.35,1.18,MADRID AMSTERDAM,1,  00,1,  00,1.0,1,1,0,0,0,2
6,-1,VFL Vienna,7,3,2,1,12,11,1,11,Season 61625,VIENNA,13,13,13,-1,VFL Lisbon,1,1,5,7,13,-6,4,LISBON,7,7,13,56,5.25,1.7,3.6,5.75,2.2,2.2,3.5,1.5,7.5,0.0,0.0,1.55,2.3,2.65,1.45,5.75,1.12,0.0,0.0,VIENNA LISBON,0,  02,1,  04,5.0,2,2,1,1,1,7
7,1,VFL Brussels,7,3,1,2,6,5,1,10,Season 61625,BRUSSELS,9,9,12,0,VFL London,1,2,4,8,16,-8,5,LONDON,4,4,9,56,3.05,2.35,3.35,3.8,2.5,2.4,2.35,1.75,11.5,0.0,0.0,1.35,2.9,2.35,1.55,4.2,1.2,0.0,0.0,BRUSSELS LONDON,2,  01,2,  01,3.0,1,1,1,1,0,4
8,1,VFL Stockholm,7,2,2,2,11,10,1,8,Season 61625,STOCKHOLM,11,11,13,0,VFL Ankara,1,1,5,7,13,-6,4,ANKARA,14,14,11,56,1.85,3.8,4.05,2.1,4.55,2.6,1.55,2.5,23.0,0.0,0.0,0.0,0.0,1.6,2.25,2.45,1.5,4.0,1.22,STOCKHOLM ANKARA,2,  00,4,  01,5.0,1,1,1,1,1,14
10,1,VFL Athens,7,1,3,2,9,11,-2,6,Season 61625,ATHENS,10,10,16,1,VFL Paris,0,3,4,7,16,-9,3,PARIS,8,8,10,56,2.2,3.05,3.75,2.55,3.45,2.5,1.75,2.25,15.0,0.0,0.0,1.22,4.05,1.8,1.9,3.25,1.3,0.0,0.0,ATHENS PARIS,1,  00,2,  00,2.0,1,1,1,0,0,8
11,-1,VFL Copenhagen,7,1,2,3,8,12,-4,5,Season 61625,COPENHAGEN,12,12,15,0,VFL Bern,1,1,5,5,17,-12,4,BERN,16,16,12,56,1.95,4.2,3.4,2.55,5.25,2.0,1.7,2.75,7.75,0.0,0.0,1.55,2.4,2.6,1.45,5.75,1.12,0.0,0.0,COPENHAGEN BERN,0,  00,0,  00,0.0,0,0,0,0,0,16
3,0,VFL Rome,8,4,3,0,16,7,9,15,Season 61625,ROME,5,5,6,0,VFL Brussels,4,1,3,8,8,0,13,BRUSSELS,9,9,5,0,1.7,5.0,3.8,2.3,4.5,2.35,1.55,2.8,12.75,0.0,0.0,1.3,3.25,2.1,1.7,3.7,1.25,0.0,0.0,ROME BRUSSELS,2,  00,2,  00,2.0,1,1,1,0,0,9
5,1,VFL Amsterdam,8,4,1,2,10,5,5,13,Season 61625,AMSTERDAM,2,2,4,1,VFL Oslo,5,2,1,15,7,8,17,OSLO,6,6,2,0,1.7,3.85,5.0,2.1,4.95,2.45,1.45,2.75,24.0,0.0,0.0,1.25,3.8,1.75,2.0,2.9,1.4,0.0,0.0,AMSTERDAM OSLO,1,  00,1,  00,1.0,1,1,0,0,0,6
