Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
1,0,VFL Oslo,1,1,0,0,4,1,3,3,Season 61528
2,0,VFL Edinburgh,1,1,0,0,3,0,3,3,Season 61528
3,0,VFL Brussels,1,1,0,0,2,0,2,3,Season 61528
4,0,VFL Berlin,1,1,0,0,3,2,1,3,Season 61528
5,0,VFL Ankara,1,1,0,0,1,0,1,3,Season 61528
6,0,VFL Madrid,1,0,1,0,1,1,0,1,Season 61528
6,0,VFL Vienna,1,0,1,0,1,1,0,1,Season 61528
8,0,VFL Amsterdam,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL Athens,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL Lisbon,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL London,1,0,1,0,0,0,0,1,Season 61528
12,0,VFL Rome,1,0,0,1,2,3,-1,0,Season 61528
13,0,VFL Paris,1,0,0,1,0,1,-1,0,Season 61528
14,0,VFL Copenhagen,1,0,0,1,0,2,-2,0,Season 61528
15,0,VFL Bern,1,0,0,1,1,4,-3,0,Season 61528
16,0,VFL Stockholm,1,0,0,1,0,3,-3,0,Season 61528
1,-1,VFL Edinburgh,2,2,0,0,5,0,5,6,Season 61528
2,-1,VFL Ankara,2,2,0,0,3,1,2,6,Season 61528
3,-1,VFL Madrid,2,1,1,0,4,2,2,4,Season 61528
4,0,VFL Berlin,2,1,1,0,3,2,1,4,Season 61528
5,-1,VFL Amsterdam,2,1,1,0,2,1,1,4,Season 61528
6,-1,VFL Rome,2,1,0,1,6,5,1,3,Season 61528
7,1,VFL Oslo,2,1,0,1,5,4,1,3,Season 61528
8,1,VFL Brussels,2,1,0,1,2,1,1,3,Season 61528
9,-1,VFL Stockholm,2,1,0,1,1,3,-2,3,Season 61528
10,1,VFL Vienna,2,0,2,0,1,1,0,2,Season 61528
11,1,VFL London,2,0,1,1,1,2,-1,1,Season 61528
12,-1,VFL Paris,2,0,1,1,0,1,-1,1,Season 61528
13,1,VFL Lisbon,2,0,1,1,2,4,-2,1,Season 61528
14,1,VFL Athens,2,0,1,1,0,2,-2,1,Season 61528
14,0,VFL Copenhagen,2,0,1,1,0,2,-2,1,Season 61528
16,1,VFL Bern,2,0,0,2,2,6,-4,0,Season 61528
1,-1,VFL Berlin,3,2,1,0,7,4,3,7,Season 61528
2,1,VFL Edinburgh,3,2,0,1,5,1,4,6,Season 61528
